variable,role,inferred_type,n_unique_nonmissing,example_values,n_missing,pct_missing
age,clinical_core,categorical,3,O; Y; NA,0,0
age_at_dx,clinical_core,numeric,93,86; 77; 68; 69; 74,0,0
os_status,clinical_core,binary,2,0; 1,0,0
os_years,clinical_core,numeric,98,3.02739726027397; 5; 2.38630136986301; 1.24657534246575; 1.2027397260274,0,0
race,clinical_core,categorical,3,C; AA; Other/Unknown,0,0
stage,clinical_core,categorical,2,2advanced; 1early,0,0
acrc,molecular_feature,numeric,125,4.71143709703507; 4.80669623037653; 3.65949675129786; 5.2415878535701; 3.29150738814892,0,0
ag2,molecular_feature,numeric,125,4.18464466808557; 3.57220410354184; 5.90868807967797; 5.7905888726673; 4.41763254119103,0,0
atg16l2,molecular_feature,numeric,125,4.04377956406403; 4.38969682032939; 5.27621880893926; 4.90174538706811; 4.07272298190742,0,0
btbd16,molecular_feature,numeric,125,3.41785631941824; 4.32054307320023; 5.27793330021027; 5.67637188428097; 2.71582264407617,0,0
c10orf47,molecular_feature,numeric,125,5.02943038221492; 6.45152670363798; 6.02671124630056; 6.61146327690239; 6.47304663945159,0,0
c11orf41,molecular_feature,numeric,125,6.53102152795996; 1.78149938752997; 3.01555851273607; 5.18835541823708; 6.67639656048981,0,0
c11orf9,molecular_feature,numeric,125,6.74843432526465; 4.06018149486269; 4.71091059120975; 5.89978303575188; 2.48093042532486,0,0
c12orf27,molecular_feature,numeric,125,2.11312243360837; 5.66946150747986; 3.43468428673616; 5.58318650644441; 1.71426843251829,0,0
c17orf70,molecular_feature,numeric,125,5.95796118526723; 6.80285417644279; 5.92644825911765; 6.12562067679715; 5.58178283209955,0,0
c1orf106,molecular_feature,numeric,125,4.82121373884441; 6.32645519485972; 7.00261938481957; 6.83081859087999; 4.6891957416271,0,0
c1orf126,molecular_feature,numeric,125,4.9779520017758; 4.83214941950021; 2.72643900583221; 5.37469683180069; 3.25524897731242,0,0
