direction,tau_years,cases_le_tau,controls_at_tau,cens_lt_tau,estimable
TCGA -> UPSC,1,9,53,2,NO
TCGA -> UPSC,1.5,12,46,6,YES
TCGA -> UPSC,2,17,40,7,YES
TCGA -> UPSC,2.5,18,35,11,YES
TCGA -> UPSC,3,21,32,11,YES
TCGA -> UPSC,3.5,22,29,13,YES
TCGA -> UPSC,4,23,27,14,YES
TCGA -> UPSC,5,24,18,22,YES
UPSC -> TCGA,1,3,48,7,NO
UPSC -> TCGA,1.5,7,36,15,NO
UPSC -> TCGA,2,10,24,24,YES
UPSC -> TCGA,2.5,12,17,29,YES
UPSC -> TCGA,3,14,10,34,YES
UPSC -> TCGA,3.5,15,6,37,NO
UPSC -> TCGA,4,15,6,37,NO
UPSC -> TCGA,5,15,6,37,NO
