direction,tau_years,family,delta_c_index,delta_auc,delta_brier,delta_brier_recal
TCGA -> UPSC,1.5,Cox,-0.093,NA,0.6785,0.6813
TCGA -> UPSC,2,Cox,-0.093,NA,0.5718,0.5799
TCGA -> UPSC,2.5,Cox,-0.093,NA,0.5614,0.5492
TCGA -> UPSC,3,Cox,-0.093,NA,0.4719,0.4689
TCGA -> UPSC,3.5,Cox,-0.093,NA,0.4315,0.4261
TCGA -> UPSC,4,Cox,-0.093,NA,0.4149,0.4011
TCGA -> UPSC,5,Cox,-0.093,NA,0.8438,1
TCGA -> UPSC,1.5,Ridge-Cox,-0.075,NA,0.6491,-0.0043
TCGA -> UPSC,2,Ridge-Cox,-0.075,NA,0.5106,0.0947
TCGA -> UPSC,2.5,Ridge-Cox,-0.075,NA,0.4893,0.1018
TCGA -> UPSC,3,Ridge-Cox,-0.075,NA,0.4092,0.4092
TCGA -> UPSC,3.5,Ridge-Cox,-0.075,NA,0.3788,0.3788
TCGA -> UPSC,4,Ridge-Cox,-0.075,NA,0.3546,0.3546
TCGA -> UPSC,5,Ridge-Cox,-0.075,NA,0.7943,0.7943
UPSC -> TCGA,2,Cox,0.044,NA,0.1371,-0.0134
UPSC -> TCGA,2.5,Cox,0.044,NA,0.1026,0.1026
UPSC -> TCGA,3,Cox,0.044,NA,-0.0106,-0.0106
UPSC -> TCGA,2,Ridge-Cox,0.04,NA,0.0134,-0.0179
UPSC -> TCGA,2.5,Ridge-Cox,0.04,NA,0.0104,0.0104
UPSC -> TCGA,3,Ridge-Cox,0.04,NA,0.0168,0.0168
