bin,n,pred,obs,model,direction,tau_years
1,12,0.21526902537514303,0.30775751700752524,Ridge Base (raw),TCGA -> UPSC,2
2,12,0.21526902537514303,0.24372036719459295,Ridge Base (raw),TCGA -> UPSC,2
3,11,0.21526902537514303,0.4444814938312771,Ridge Base (raw),TCGA -> UPSC,2
4,11,0.21526902537514303,0.2513443112404223,Ridge Base (raw),TCGA -> UPSC,2
5,11,0.21526902537514303,0.1658318301043415,Ridge Base (raw),TCGA -> UPSC,2
1,12,0.21526902537514303,0.30775751700752524,Ridge Base (recal),TCGA -> UPSC,2
2,12,0.21526902537514303,0.24372036719459295,Ridge Base (recal),TCGA -> UPSC,2
3,11,0.21526902537514303,0.4444814938312771,Ridge Base (recal),TCGA -> UPSC,2
4,11,0.21526902537514303,0.2513443112404223,Ridge Base (recal),TCGA -> UPSC,2
5,11,0.21526902537514303,0.1658318301043415,Ridge Base (recal),TCGA -> UPSC,2
1,12,0.9999984273605544,0.22983582409201792,Ridge Ext (raw),TCGA -> UPSC,2
2,12,0.99999999,0.3203742374151545,Ridge Ext (raw),TCGA -> UPSC,2
3,11,0.99999999,0.3578193832599119,Ridge Ext (raw),TCGA -> UPSC,2
4,11,0.99999999,0.252411936280009,Ridge Ext (raw),TCGA -> UPSC,2
5,11,0.99999999,0.2505357134841524,Ridge Ext (raw),TCGA -> UPSC,2
1,12,0.2779281495329448,0.32207527975584943,Ridge Ext (recal),TCGA -> UPSC,2
2,12,0.29302695323815314,0.24372036719459295,Ridge Ext (recal),TCGA -> UPSC,2
3,11,0.295999978595631,0.252411936280009,Ridge Ext (recal),TCGA -> UPSC,2
4,11,0.3603520630500675,0.2505357134841524,Ridge Ext (recal),TCGA -> UPSC,2
5,11,0.99999999,0.3431105969552072,Ridge Ext (recal),TCGA -> UPSC,2
1,12,0.23355805500426055,0.051887450658144,Ridge Base (raw),UPSC -> TCGA,2
2,11,0.27966935321517716,0.19859924252516983,Ridge Base (raw),UPSC -> TCGA,2
3,11,0.3140647575096269,0.4502008597043577,Ridge Base (raw),UPSC -> TCGA,2
1,12,0.052228312100677556,0.051887450658144,Ridge Base (recal),UPSC -> TCGA,2
2,11,0.20483034383409088,0.19859924252516983,Ridge Base (recal),UPSC -> TCGA,2
3,11,0.5054530790500475,0.4502008597043577,Ridge Base (recal),UPSC -> TCGA,2
1,12,0.30263999664603025,0.051887450658144,Ridge Ext (raw),UPSC -> TCGA,2
2,11,0.31540023732935046,0.28645021351589506,Ridge Ext (raw),UPSC -> TCGA,2
3,11,0.325219308395676,0.3525164082689961,Ridge Ext (raw),UPSC -> TCGA,2
1,12,0.03294356472996454,0.051887450658144,Ridge Ext (recal),UPSC -> TCGA,2
2,11,0.17583843212224154,0.28645021351589506,Ridge Ext (recal),UPSC -> TCGA,2
3,11,0.5309352241648144,0.3525164082689961,Ridge Ext (recal),UPSC -> TCGA,2
